step,res_total,res_max,dt
417,3.60020402e-03,1.90705655e-03,8.41767974e-13
418,3.59488514e-03,1.90268495e-03,8.41995783e-13
419,3.58957737e-03,1.89832261e-03,8.42223255e-13
420,3.58428068e-03,1.89396953e-03,8.42450388e-13
421,3.57899505e-03,1.88962567e-03,8.42677184e-13
422,3.57372045e-03,1.88529103e-03,8.42903643e-13
423,3.56845687e-03,1.88096557e-03,8.43129764e-13
424,3.56320428e-03,1.87664928e-03,8.43355548e-13
425,3.55796265e-03,1.87234215e-03,8.43580994e-13
426,3.55273196e-03,1.86804415e-03,8.43806103e-13
427,3.54751219e-03,1.86375526e-03,8.44030876e-13
428,3.54230332e-03,1.85947547e-03,8.44255311e-13
429,3.53710532e-03,1.85520475e-03,8.44479409e-13
430,3.53191816e-03,1.85094309e-03,8.44703171e-13
431,3.52674183e-03,1.84669047e-03,8.44926596e-13
432,3.52157631e-03,1.84244686e-03,8.45149685e-13
433,3.51642156e-03,1.83821225e-03,8.45372437e-13
434,3.51127757e-03,1.83398663e-03,8.45594852e-13
435,3.50614431e-03,1.82976996e-03,8.45816932e-13
436,3.50102176e-03,1.82556224e-03,8.46038675e-13
437,3.49590990e-03,1.82136344e-03,8.46260082e-13
438,3.49080870e-03,1.81717355e-03,8.46481154e-13
439,3.48571814e-03,1.81299254e-03,8.46701889e-13
440,3.48063820e-03,1.80882040e-03,8.46922289e-13
441,3.47556886e-03,1.80465711e-03,8.47142353e-13
442,3.47051009e-03,1.80050265e-03,8.47362082e-13
443,3.46546188e-03,1.79635700e-03,8.47581476e-13
444,3.46042418e-03,1.79222015e-03,8.47800534e-13
445,3.45539700e-03,1.78809207e-03,8.48019257e-13
446,3.45038030e-03,1.78397274e-03,8.48237645e-13
447,3.44537406e-03,1.77986216e-03,8.48455698e-13
448,3.44037825e-03,1.77576029e-03,8.48673417e-13
449,3.43539287e-03,1.77166713e-03,8.48890801e-13
450,3.43041787e-03,1.76758265e-03,8.49107850e-13
451,3.42545325e-03,1.76350683e-03,8.49324565e-13
452,3.42049898e-03,1.75943966e-03,8.49540945e-13
453,3.41555503e-03,1.75538112e-03,8.49756992e-13
454,3.41062139e-03,1.75133119e-03,8.49972704e-13
455,3.40569803e-03,1.74728986e-03,8.50188083e-13
456,3.40078494e-03,1.74325709e-03,8.50403128e-13
457,3.39588208e-03,1.73923289e-03,8.50617839e-13
458,3.39098944e-03,1.73521722e-03,8.50832216e-13
459,3.38610699e-03,1.73121007e-03,8.51046261e-13
460,3.38123472e-03,1.72721143e-03,8.51259972e-13
461,3.37637260e-03,1.72322126e-03,8.51473350e-13
462,3.37152061e-03,1.71923957e-03,8.51686395e-13
463,3.36667873e-03,1.71526633e-03,8.51899107e-13
464,3.36184693e-03,1.71130151e-03,8.52111486e-13
465,3.35702520e-03,1.70734511e-03,8.52323533e-13
466,3.35221352e-03,1.70339711e-03,8.52535248e-13
467,3.34741185e-03,1.69945748e-03,8.52746630e-13
468,3.34262019e-03,1.69552622e-03,8.52957681e-13
469,3.33783850e-03,1.69160329e-03,8.53168399e-13
470,3.33306678e-03,1.68768870e-03,8.53378785e-13
471,3.32830499e-03,1.68378241e-03,8.53588840e-13
472,3.32355311e-03,1.67988441e-03,8.53798563e-13
473,3.31881113e-03,1.67599469e-03,8.54007955e-13
474,3.31407903e-03,1.67211322e-03,8.54217015e-13
475,3.30935677e-03,1.66823999e-03,8.54425745e-13
476,3.30464435e-03,1.66437498e-03,8.54634143e-13
477,3.29994173e-03,1.66051817e-03,8.54842211e-13
478,3.29524891e-03,1.65666955e-03,8.55049948e-13
479,3.29056585e-03,1.65282910e-03,8.55257355e-13
